wer,sim1,sim2,membership
1.41743749,-0.087130671,1.019761905,0
1.271610012,-0.070759043,3.49702381,0
1.383851095,-0.078471953,129.5238095,0
0.895689083,-0.079977146,38.91952381,0
1.29790744,-0.080134197,2.381190476,0
1.984032702,-0.09328069,4.931785714,0
0.139232357,-0.063897252,31.54761905,0
1.899925702,-0.092643427,19.26416667,0
1.405866877,-0.062328521,16.66666667,0
0.629332262,-0.059834354,191.0179762,0
1.367306979,-0.07179489,8.333333333,0
0.706663226,-0.066933789,1.700714286,0
1.426203369,-0.082475051,-6.547619048,0
1.214004511,-0.065005386,6.169047619,0
-0.076250107,-0.007988934,-0.649285714,0
0.397575881,-0.019288314,1.488095238,0
1.751867696,-0.0866038,6.944166667,0
0.972672008,-0.055428143,9.183928571,0
0.255656571,-0.007961794,5.951785714,0
1.935226095,-0.090440041,17.42440476,0
0.57435881,-0.021736658,7.738095238,0
1.541663798,-0.078074157,3.77,0
1.532516829,-0.068710139,-7.380952381,0
0.851847631,-0.024875265,3.316309524,0
1.469963008,-0.085345064,9.523809524,0
0.693045179,-0.049546481,5.476190476,0
1.518076274,-0.07850986,7.44047619,0
0.915418845,-0.079994338,10.25607143,0
1.253112674,-0.079019296,44.57678571,0
1.292351119,-0.068759715,24.66940476,0
0.886800929,-0.071954875,41.79952381,0
1.135095108,-0.094926721,8.035714286,0
1.667486315,-0.102430729,-7.341071429,0
1.58595694,-0.064852057,8.843095238,0
0.765839536,-0.069238739,65.67464286,0
1.193666094,-0.066265383,7.539404762,0
0.765398452,-0.046638457,144.7619048,0
1.248449154,-0.073684826,-1.785833333,0
0.430404631,-0.037293205,4.166666667,0
1.32138009,-0.093660637,-12.50035714,0
1.492990211,-0.079297498,41.02583333,0
1.011690167,-0.072483347,164.6257143,0
0.905464369,-0.067786561,7.575833333,0
0.72024144,-0.036050115,20.39619048,0
0.95037981,-0.068156273,84.4047619,0
0.21262806,0.006041959,31.10119048,0
1.001980155,-0.059562123,9.166666667,0
1.086885929,-0.065069194,6.151071429,0
1.15439606,-0.086247754,-384.5238095,0
1.116650442,-0.077409182,45.11904762,0
0.789416214,-0.047753969,3.571666667,0
0.737021012,-0.024536945,1.785833333,0
1.80606869,-0.08551071,126.1904762,0
0.876698617,-0.074765334,5.753452381,0
1.665718014,-0.082004553,13.0952381,0
1.690073571,-0.104844958,10.41666667,0
-0.212257167,0.00018594,11.7722619,0
0.922896783,-0.084647952,55,0
